city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_mean_solar_hour,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
phoenix,phoenix:28828,registration_dx1_dy0,555697,3244,3231,427.374778852982,0.0007690787944742944,368.3890110476791,0.0013697934919411827,0.006216975599286058,2241.3991082440443,0.00147174686881602,7,552446,[],1000,1000,0,3244,20260919,0.07682763056884255,0.029919063212887023,0.11995309333913418,0.029319867324620538,0.21863159431836146,0.8541120965783531,0.21998317409437199,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28828,registration_dx0_dy-1,555477,3235,3225,427.4960785699176,0.0007696017631151561,368.16632212029896,0.0013286427317527561,0.006058949644764411,2243.7163580711776,0.0014903001488603468,7,552235,[],1000,1000,0,3235,20260919,0.0773626054361675,0.029225655489296145,0.1143562218579377,0.03012731970484314,0.21485340720955634,0.831830038036296,0.2176980214530788,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28828,registration_dx0_dy1,555642,3239,3231,427.23614924601185,0.0007689054269583866,369.0697982026985,0.001472214983494124,0.006295279665908557,2237.8328947413356,0.0014886753826412822,7,552396,[],1000,1000,0,3239,20260919,0.07914224811483174,0.02927295310328765,0.11260722092187092,0.029458597730667377,0.2186637556080154,0.8692400269167013,0.21885760977189764,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28828,spatial_2km,556673,3246,3235,427.21566612845646,0.0007674445610411435,368.54454706004594,0.0014041829347902109,0.006190871743563658,2237.4831079627306,0.0014941004711552515,7,553420,[],1000,1000,0,882,20260919,0.07729078307521872,0.038301471803040076,0.15201957912663144,0.03788239982003126,0.2920364141226841,1.1458014353811752,0.2854552847596724,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28909,paired_primary,409964,2764,2737,319.565538082363,0.0007794965852669088,278.36897458361886,0.0017240648434939283,0.007955526531594918,1749.6324344958307,0.0018859261222583747,7,407193,[],1000,1000,0,2764,20260919,0.07831741246405968,0.03215424950186827,0.1269198970672828,0.03308224653292951,0.2615542419487779,1.0807062889023076,0.2658028705221035,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:28909,registration_dx-1_dy0,409041,2755,2729,319.7120344657309,0.0007816136633387139,278.2951605392401,0.001661533617176918,0.007911418542539118,1752.71569874741,0.0018910341454707758,7,406279,[],1000,1000,0,2755,20260919,0.07885617793064686,0.031773367121461164,0.12128737614860163,0.0326365778605298,0.2530391063167261,0.99034727129796,0.2614052858490995,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:28909,registration_dx1_dy0,409187,2760,2734,319.5949832059024,0.0007810487215036216,278.20294393290885,0.0018106844809369755,0.007977239357893509,1748.755434305462,0.0018106313958667442,7,406420,[],1000,1000,0,2760,20260919,0.07703678357256288,0.0319936089895445,0.11962606651811225,0.03310106033922241,0.2621311811220383,0.9963992057706035,0.266930753394182,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:28909,registration_dx0_dy-1,409145,2755,2729,320.153208868978,0.0007824932697918294,278.14417031754357,0.0016835797185595104,0.007826683387902269,1753.0213902800253,0.0018831027312463753,7,406383,[],1000,1000,0,2755,20260919,0.07757318987326199,0.03342245433835737,0.13018829220446504,0.03308200192034754,0.2652090738618884,0.999817696761367,0.26690020791981045,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:28909,registration_dx0_dy1,409103,2758,2735,319.5515515430658,0.0007811029289520384,278.8491675185444,0.0017628625590449998,0.008020245650011297,1752.870832812227,0.0018680584145127034,7,406338,[],1000,1000,0,2758,20260919,0.07954509728526032,0.03396703888591208,0.13537594724079804,0.033168591465520265,0.26708151875753766,1.0538721133789588,0.26540457717616694,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:28909,spatial_2km,409964,2764,2737,319.565538082363,0.0007794965852669088,278.36897458361886,0.0017240648434939283,0.007955526531594918,1749.6324344958307,0.0018859261222583747,7,407193,[],1000,1000,0,796,20260919,0.07831741246405968,0.040606426744706624,0.1584355120032943,0.040168724262348465,0.31483955367712635,1.2233719029583687,0.3138922391475025,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
phoenix,phoenix:27963,common_cells,353656,2604,2574,256.88761391683465,0.0007263770837108225,228.4155194188016,0.002089991400537872,0.009077422494524593,1583.773842121576,0.0020003440193896143,7,351045,[],1000,999,1,2604,20260919,0.08783666320803535,0.02051578804594038,0.08144020845326627,0.0206077566806243,0.13218819799390163,0.5195162070645925,0.1303750216908318,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:28024,common_cells,353656,2604,2574,256.88761391683465,0.0007263770837108225,228.4155194188016,0.002089991400537872,0.009077422494524593,1583.773842121576,0.0020003440193896143,7,351045,[],1000,999,1,2604,20260919,0.08783666320803535,0.028183969043360957,0.11391939324475708,0.027945372354710854,0.21271818060662293,0.8682657838318875,0.21036181821126912,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28706,common_cells,353656,2604,2574,256.88761391683465,0.0007263770837108225,228.4155194188016,0.002089991400537872,0.009077422494524593,1583.773842121576,0.0020003440193896143,7,351045,[],1000,999,1,2604,20260919,0.08783666320803535,0.02884056907398489,0.11680494106869888,0.028454762972198733,0.23720974040417409,0.9281246087716504,0.23368353591616797,2023-07-29T20:53:55.753000+00:00,13.43453197777778,10.859678268432615,002,True
phoenix,phoenix:28828,common_cells,353656,2604,2574,256.88761391683465,0.0007263770837108225,228.4155194188016,0.002089991400537872,0.009077422494524593,1583.773842121576,0.0020003440193896143,7,351045,[],1000,999,1,2604,20260919,0.08783666320803535,0.027754476560558416,0.11031010978983757,0.02712509426693098,0.2053657570338844,0.8247145104009022,0.19785045112516736,2023-08-06T17:40:07.586000+00:00,10.20453197777778,19.06538200378418,002,True
phoenix,phoenix:28909,common_cells,353656,2604,2574,256.88761391683465,0.0007263770837108225,228.4155194188016,0.002089991400537872,0.009077422494524593,1583.773842121576,0.0020003440193896143,7,351045,[],1000,999,1,2604,20260919,0.08783666320803535,0.0331740507035633,0.1310789402265915,0.03224860534426162,0.272258912980568,1.078848696945924,0.26542749025650636,2023-08-11T23:22:47.462000+00:00,15.915643088888892,18.664325714111328,002,True
