city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_solar_hour_inherited_metadata,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
atlanta,atlanta:28145,registration_dx1_dy0,254143,5023,4902,14161.617992313111,0.055723029917460296,6039.317699524875,0.002096353120818023,0.008104968394348844,2714.4497117774326,0.0012914086773943088,7,249113,[],1000,1000,0,5023,20260919,0.0027378192616754502,0.00838068181610386,0.033568565588606575,0.00851350530662945,0.05181366132062675,0.2052612805504439,0.05338469818905195,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28145,registration_dx0_dy-1,253857,5014,4897,14115.85229703949,0.055605527115815165,6023.882821623305,0.001935745895194966,0.007848473816357273,2701.833909409911,0.0013133694174225705,7,248836,[],1000,1000,0,5014,20260919,0.0027506512361691144,0.00879108286531261,0.03353266192016369,0.00851198743563444,0.05463937502070994,0.21871081688467076,0.05319311426285281,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28145,registration_dx0_dy1,254363,5027,4896,14194.899951706368,0.05580567909525508,6066.476414510025,0.0022321444262397364,0.00767738994127018,2749.9599379900856,0.0012600460125576601,7,249329,[],1000,1000,0,5027,20260919,0.002853653134976917,0.008606595968627511,0.03517885347958433,0.008567668381688438,0.05487224595686829,0.21246262244173186,0.054670455647000515,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28145,spatial_2km,253835,5016,4894,13999.489523025903,0.05515192752388718,5819.422863934236,0.0021876705094770275,0.008011638467322486,2667.613237991486,0.0012750508193605174,7,248812,[],1000,1000,0,1528,20260919,0.002872033760769536,0.009203674156114484,0.03548562882731518,0.009409170939478281,0.05962990034950979,0.22474817538892777,0.06157897703492367,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28598,paired_primary,237294,4903,4742,13009.909685653152,0.054826121543962984,5609.4487266292335,0.0022902937278518392,0.009387482782861728,2457.5608927344883,0.0016644806132595537,7,232384,[],1000,1000,0,4903,20260919,0.002477278101535716,0.005856147874331499,0.022470344574405693,0.005835303429609498,0.04055610317911982,0.1532451270943409,0.04084450571907404,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:28598,registration_dx-1_dy0,237768,4888,4731,13176.087670983197,0.05541573159963997,5841.357467592832,0.0021924697325551154,0.00924717548782518,2449.3346345827404,0.00157763579170058,7,232873,[],1000,1000,0,4888,20260919,0.0026030512347139374,0.005541914288611391,0.021552624891600147,0.0057506993571775945,0.03800014931170465,0.1424473549615054,0.039631271183181604,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:28598,registration_dx1_dy0,237593,4900,4733,13192.15386357369,0.05552416890890595,5865.583543730214,0.0020932748682352094,0.009030055176692035,2479.0761686865085,0.0016489483491722255,7,232686,[],1000,1000,0,4900,20260919,0.0025184435066501814,0.005660749900110596,0.022472347630480283,0.005671739238905691,0.03933187349473464,0.15502077164682826,0.03956466349978161,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:28598,registration_dx0_dy-1,237469,4899,4739,13200.727140682346,0.05558926487534097,5847.0293713928395,0.002289167600445846,0.010004324385595552,2452.8154518896954,0.0016959566876058646,7,232563,[],1000,1000,0,4899,20260919,0.002426596181851261,0.005514936272961943,0.021003750394375797,0.005675945185651433,0.03844077998926165,0.1518486179995726,0.039314625897899295,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:28598,registration_dx0_dy1,237847,4895,4745,13220.15408488964,0.05558259757276585,5894.100980432721,0.0021305697818218075,0.009194183264642226,2468.3558488037443,0.0014960709962307923,7,232945,[],1000,1000,0,4895,20260919,0.0025422829026882053,0.005419637020830243,0.02154892274127923,0.005615839779379277,0.03791062499988523,0.1474238731148182,0.03930476610400399,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:28598,spatial_2km,237294,4903,4742,13009.909685653152,0.054826121543962984,5609.4487266292335,0.0022902937278518392,0.009387482782861728,2457.5608927344883,0.0016644806132595537,7,232384,[],1000,1000,0,1546,20260919,0.002477278101535716,0.0063771478675580355,0.02508423128760373,0.006555885209332231,0.04476879245966255,0.1787173353053203,0.04557020206542216,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
atlanta,atlanta:27835,common_cells,108438,3080,2909,5712.245921699512,0.05267752929507656,2370.443486238234,0.0031050767966078656,0.014319168851352943,1303.176183004271,0.003124876070050638,7,105351,[],1000,1000,0,3080,20260919,0.006526795242253708,0.010936267861313341,0.04303777255439989,0.011477444315816543,0.068920373730542,0.2672618111738658,0.07274515078391876,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27896,common_cells,108438,3080,2909,5712.245921699512,0.05267752929507656,2370.443486238234,0.0031050767966078656,0.014319168851352943,1303.176183004271,0.003124876070050638,7,105351,[],1000,1000,0,3080,20260919,0.006526795242253708,0.008583523075172524,0.03279909032733816,0.009139141479388777,0.05324783720175243,0.20845855517426792,0.05743333758521779,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27916,common_cells,108438,3080,2909,5712.245921699512,0.05267752929507656,2370.443486238234,0.0031050767966078656,0.014319168851352943,1303.176183004271,0.003124876070050638,7,105351,[],1000,1000,0,3080,20260919,0.006526795242253708,0.004304417457830647,0.016666256126706303,0.0046434639221433,0.023419463261600278,0.09363655649570313,0.024572302105943626,2023-06-08T22:58:37.519000+00:00,17.3761254026,10.7264442444,002,True
atlanta,atlanta:28145,common_cells,108438,3080,2909,5712.245921699512,0.05267752929507656,2370.443486238234,0.0031050767966078656,0.014319168851352943,1303.176183004271,0.003124876070050638,7,105351,[],1000,1000,0,3080,20260919,0.006526795242253708,0.011238373113913337,0.04568423427382265,0.012397959664751407,0.07327967600389104,0.2951224602981086,0.07931191679691212,2023-06-23T17:12:53.787000+00:00,11.5620587514,20.5109672546,002,True
atlanta,atlanta:28598,common_cells,108438,3080,2909,5712.245921699512,0.05267752929507656,2370.443486238234,0.0031050767966078656,0.014319168851352943,1303.176183004271,0.003124876070050638,7,105351,[],1000,1000,0,3080,20260919,0.006526795242253708,0.00848032627128554,0.03196162625490748,0.00850367102375593,0.05947225529312057,0.22678705130214782,0.059684251788833215,2023-07-22T21:46:19.714000+00:00,16.0422682992,13.4847726822,002,True
